point_id,Lon,Lat,daima,MOD17_sample_Lon,MOD17_sample_Lat
146,94.25348539803049,33.21745341852961,497,94.25706165376467,33.21914609814282
147,93.62466469914683,33.54983007365383,497,93.6257142525478,33.55189471727894
148,94.77899983924041,32.889568339825985,497,94.77915322631546,32.890894081968
149,95.61443305347157,32.723380012263874,497,95.61744272517758,32.724519772399944
150,94.10975495257138,33.43304908671829,497,94.11364932510774,33.43498304028517
151,94.88679767333475,32.89405991624658,497,94.88571377905895,32.8953906849293
152,93.71898780397939,33.46898169808308,497,93.72145443216546,33.470955863975554
153,94.23102751592751,33.21745341852961,497,94.23018678215297,33.21914609814282
154,95.07095230657926,33.280335488417975,497,95.07264632260002,33.282098539601
155,95.29103955118855,32.92999252761136,497,95.29394314627672,32.9313635086197
156,95.27756482192676,32.82668626993762,497,95.27913708685564,32.82794164050981
157,95.08442703584106,32.91651779834957,497,95.08657824271181,32.91787369973579
158,94.77450826281982,32.90753464550837,497,94.77697911478876,32.9088804938132
159,95.1787501406736,32.943467256873156,497,95.179882329632,32.944853317503586
160,95.21468275203839,33.01084090318212,497,95.2150781000033,33.01230236192307
161,94.6442525466225,33.24440287705319,497,94.64638078082172,33.246125715910615
162,94.64874412304309,33.590254261439206,497,94.65207194677637,33.59236414393063
163,94.37924953780723,33.729493130477735,497,94.37887176856886,33.7272622327696
164,93.69652992187639,33.26686075915618,497,93.69731944079017,33.26860873071711
165,94.54992944178994,32.98838302107913,497,94.55286169119223,32.98981934711658
166,94.52297998326635,33.060248243808694,497,94.52276582388654,33.06176499449736
167,94.83739033270818,33.087197702332276,497,94.84157547013116,33.08874461226515
168,93.72347938039998,33.55432165007443,497,93.72771336190962,33.55639132024024
169,94.34331692644245,33.26236918273558,497,94.34320196739469,33.264112127755816
170,94.53196313610755,33.504914309447855,497,94.53156074067782,33.506928687665955
171,95.62790778273336,32.808719964255225,499,95.62900538829797,32.80995522866462
172,94.95866289606433,33.06923139664989,499,94.96169694182832,33.07075820041996
173,96.02316650774596,32.70541370658148,499,96.02567333266879,32.706533360554744
174,95.96477601427819,32.664989518796105,499,95.96613864247078,32.666063933903054
175,95.64587408841575,32.76829577646985,499,95.64967443426177,32.76948580201293
176,95.97375916711938,32.81770311709642,499,95.97577429769095,32.81894843458722
177,95.9513012850164,32.777278929311045,499,95.95349145933079,32.77847900793553
178,95.77163822819249,32.786262082152234,499,95.77063721894596,32.78747221385813
179,95.97375916711938,32.76380420004925,499,95.97638083875643,32.764989199051634
180,95.7581634989307,32.727871588684465,499,95.76124124647367,32.72901637536124
181,95.65934881767755,32.79973681141403,499,95.66212693591473,32.80096202274202
182,95.81206241597786,32.71439685942268,499,95.81088859252736,32.715526566477344
183,94.90476397901715,33.055756667388096,499,94.90422255119691,33.05726839153606
184,95.01256181311149,33.06473982022929,499,95.01586637685907,33.066261597458656
185,94.95866289606433,33.0512650909675,499,94.95838837544304,33.052771788574766
186,93.63364785198803,33.50940588586845,504,93.63583194208806,33.51142529062725
187,93.59322366420265,33.63067844922459,504,93.59478933231817,33.63283357058232
188,93.57525735852026,33.51389746228905,504,93.57597842769415,33.51592189358855
189,94.26246855087169,32.91651779834957,504,94.26166127990209,32.91787369973579
190,93.74593726250296,33.698052095533555,504,93.7492798242975,33.700282615001804
191,93.62915627556742,33.446523815980086,504,93.63248317383174,33.448472849169065
192,93.65610573409101,33.51389746228905,504,93.656878538349,33.51592189358855
193,94.15467071677735,33.49593115660666,504,94.15506848384796,33.497935481743355
194,94.33433377360126,33.114147160855865,504,94.3338317492918,33.115724230032946
195,93.64712258124982,33.648644754906975,504,93.6521557617099,33.650819982427514
196,94.35230007928365,33.09618085517347,504,94.35209675341149,33.09773781818775
197,94.6128115116783,33.41059120461531,504,94.61719652364964,33.41250002547867
198,93.53483317073488,33.536355344392035,504,93.53557379698422,33.538404908395044
199,93.59322366420265,33.45999854524188,504,93.59315098219608,33.46196265805296
200,93.8941592843827,33.5992374142804,504,93.89532974517175,33.60135734985323
201,94.31187589149826,32.93897568045256,504,94.31240977097194,32.94035671454229
202,93.76839514460596,33.50042273302726,504,93.77169954129079,33.50243208470465
203,94.2400106687687,33.671102637009966,504,94.24396758709068,33.67330299723401
204,93.60669839346444,33.172537654323634,504,93.60698528617634,33.174180068529836
205,94.08729707046838,33.671102637009966,504,94.08727506423364,33.67330299723401
206,93.90314243722389,33.43754066313889,504,93.90298320285979,33.439479643246464
207,94.0783139176272,33.62169529638339,504,94.08182682614874,33.62384036465972
208,93.71000465113819,33.63067844922459,504,93.71360363951938,33.63283357058232
209,94.09628022330958,33.563304802915624,504,94.09903444657016,33.56538452616284
210,93.51237528863189,33.58576268501861,504,93.51359341616259,33.58786754096933
211,93.84475194375612,33.17702923074423,504,93.84817798356673,33.17867667149113
212,94.069330764786,33.603728990701,504,94.07299317492291,33.60585395281453
213,94.15467071677735,33.14109661937945,504,94.1587547513976,33.142703847800746
214,94.44662318411619,33.563304802915624,504,94.44980227193253,33.56538452616284
215,95.80307926313667,32.867110457722994,556,95.80442297173937,32.86841106716151
216,94.22653593950692,33.29381021767977,556,94.2265961084466,33.295588348484905
217,94.66671042872548,33.46449012166248,556,94.67066813674688,33.46645926101426
218,94.95417131964372,33.26686075915618,556,94.9557753445651,33.26860873071711
219,95.32248058613273,33.15007977222064,556,95.3231371735035,33.15169705372334
220,94.37026638496603,32.99736617392033,556,94.36948358549438,32.99881255303917
221,95.46171945517125,32.71439685942268,556,95.46350140887822,32.715526566477344
222,95.89291079154863,32.669481095216696,556,95.89618382727244,32.67056053686436
223,93.95254977785046,33.338725981885744,556,93.95227049331149,33.34055437809789
224,94.09178864688899,33.0512650909675,556,94.09465630948111,33.052771788574766
225,94.8194240270258,32.96592513897614,556,94.82356769094982,32.96733633231008
226,95.87045290944563,32.754821047208054,556,95.87044436144258,32.755995993129034
227,93.97051608353284,33.316268099782754,556,93.9710779733391,33.318071363291395
228,94.51399683042516,32.90753464550837,556,94.51453220027012,32.9088804938132
229,94.78349141566102,32.93448410403196,556,94.78444919319371,32.93586011158099
230,94.68018515798727,33.07821454949108,556,94.68161712222071,33.07975140634256
231,94.2400106687687,33.316268099782754,556,94.24013129843327,33.318071363291395
232,94.67569358156668,32.93897568045256,556,94.67675140135711,32.94035671454229
233,94.68467673440787,33.756442589001324,556,94.6843834554576,33.75424185053739
234,94.460097913378,33.07821454949108,556,94.46159306673103,33.07975140634256
235,94.15916229319795,33.34321755830634,556,94.16166580277269,33.34505098105919
236,94.84637348554938,32.82668626993762,556,94.84569208941532,32.82794164050981
237,94.12772125825377,33.334234405465146,556,94.13041415554699,33.336057775136595
238,94.40619899633082,33.338725981885744,556,94.40977918986808,33.34055437809789
239,95.58299201852739,32.64702321311371,556,95.58368588789288,32.64807752205786
240,93.71000465113819,33.280335488417975,556,93.711797851662,33.282098539601
241,94.13670441109497,33.32075967620335,556,94.13736657078822,33.3225679662527
242,94.38823269064842,32.96143356255554,556,94.38999524084673,32.96283972934879
243,95.43926157306826,32.754821047208054,556,95.44269671911545,32.755995993129034
244,95.53807625432141,32.65600636595491,556,95.53989133821838,32.65707072798046
245,94.14568756393615,33.35220071114754,556,94.14985991216722,33.35404418698179
246,94.15916229319795,33.29830179410037,556,94.16151397411541,33.3000849514462
